Payment_ID (PK),Payment_method (cards accepted),
1,Amex,
1,A,(abbreviation of Amex)
2,Account_Balance,
3,Android_Pay,
4,Apple_Pay,
5,Cash,
6,Checks,
7,Discover,
7,D,(abbreviation of   discover)
8,Debit,
9,EFS,
10,Mastercard,
10,M,(abbreviation of   Mastercard)
11,Proprietor,
12,Visa,
12,V,(abbreviation of Visa)
13,Wright_Exp,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
