"Station_ID (PK,FK)",EV_Level1_EVSE_Num,EV_Level2_EVSE_num,EV_DC_Fast_Count,EV_Onsite_Renewable_sources
84253,,4,,
84257,,2,,
84259,,2,,
84262,,2,,
84264,,1,,
84266,,1,,
84270,,1,,
84272,,1,,
84278,,2,,
84279,,1,,
84280,,1,1,
84283,,9,,
84285,,5,,
84288,,2,,
84305,,2,,
84306,,1,,
84307,,4,,
84308,,1,,
84313,,4,,
84320,,1,,
84321,,1,,
84322,,1,1,
84330,,1,,
84331,,1,,
84335,,1,,
84337,,1,,
84338,,1,,
84339,,2,,
84345,,1,,
84346,,1,,
84350,,4,,
84352,,1,,
84361,,3,,
84370,,8,,
84372,,1,,
84376,,1,1,
84379,,2,,
84382,,1,,
84384,,1,,
84385,,2,,NONE
84388,,1,2,
84393,,1,,
84406,,1,,
84409,,14,,
84411,,1,,
84416,,2,,
84419,,2,,
84421,,4,,
84429,,2,,
84432,,2,,
84435,,1,,
84441,,5,,
84443,,1,,
84457,,1,,
84458,,3,,
84461,,2,,
84467,,1,,
84472,,1,,
84480,,2,,
84500,,2,,
84503,,4,,
84505,,2,,
84506,,5,,
84509,,4,,
84510,,2,,
84511,,2,,
84512,,2,,
84513,,2,,
84515,,1,,
84519,,1,,
84524,,1,1,
84526,,,1,
84529,,1,,
84536,,2,,
84545,,4,,
84546,,4,,
84553,,2,,
84554,,3,,
84555,,1,,HYDRO
84558,,2,,SOLAR
84559,,1,,
84561,,1,,
84566,,2,,
84579,,2,,
84589,,1,,
84648,,1,,
84650,,1,,
84651,,2,,
84654,,1,,
84661,,,1,
84662,,1,,
84664,,2,,
84668,,6,,
84674,,1,,
84678,,1,,
84680,,6,,
84683,,1,,
84684,,2,,
84685,,3,,
84689,,1,,
84690,,2,,
84693,,2,,
84696,,,8,
84706,,2,,
84707,,3,,
84711,,1,,NONE
84715,,1,,
84718,,2,,
84719,,2,,
84722,,2,,NONE
84726,,1,,
84732,,2,,
84738,,1,,
84744,2,6,2,SOLAR
84746,,1,,
84748,,1,,
84772,,1,,
84774,,1,,
84777,,4,,
84779,,3,,
84780,,1,,
84838,,1,,
84839,,3,,
84840,,1,,
84847,,3,,
84848,,1,,
84850,,1,,
84851,,1,,
84855,,2,1,
84858,,4,,
84862,,1,2,
84867,,2,,
84868,,2,,
84873,,2,,
84874,,1,,
84884,,2,,
84888,,1,,
84894,,2,,
84895,,2,,
84897,,1,,
84898,,2,,
84901,,1,,
84904,,1,,
84906,,1,,
84910,,1,1,
84913,,1,,
84914,,1,,
84917,,1,,
84921,,2,,
84922,,2,,
84924,,2,,
84925,,2,,
84926,,2,1,
84927,,1,,
84928,,1,,
84931,,1,,
84933,,2,,
84934,,3,,
84935,,1,,
84936,,2,,
84939,,1,,
84942,,2,,
84943,,1,,
84944,,15,,
84952,,1,,
84963,,5,,
84964,,1,,
84967,1,1,2,
84968,,1,,
84970,,1,,
84973,,5,,
84974,,4,,
84977,,1,,
84988,,1,,
84990,,4,,
84991,1,1,,
84993,,1,,
84995,,2,,
84996,,14,,
84997,,2,,
84998,,1,,NONE
85006,,2,,
85009,,2,,
85013,,4,,
85014,,2,,
85016,,2,,
85019,,1,,
85030,,,4,
85034,,,8,
85050,,,8,
85067,,,4,
85109,,,8,
85126,,,1,
85127,,,1,
85135,,2,,
85148,,,8,
85155,,,8,
85163,,,8,
85188,,1,,
85193,,,1,
85198,,,1,
85200,,,1,
85207,,,8,
85216,,,1,
85226,,,1,
85228,,3,,
85231,,10,,
85241,,,1,
85253,,15,,
85293,,2,,
85315,,3,,
85323,,3,,
85324,,2,,
85330,,1,,
85333,,3,,
85336,,1,,
85338,,3,,
85339,,1,,
85341,,1,,
85349,,,10,
85366,,,4,
85784,,1,,SOLAR
86805,,,8,
86832,,1,,
86833,,2,,
86834,,1,,
87663,,,1,
87664,,,1,
87665,,1,,
87668,,,1,
88036,,9,,
88062,,,1,
88063,,,1,
88075,,2,,
88193,,,4,
88194,,,10,
88195,,,8,
88196,,,1,
88197,,,2,
88198,,,2,
88200,,1,2,
88201,,,2,
88202,,,2,
88203,,,2,
88204,,,2,
88205,,,2,
88207,,,2,
88208,,,2,
88209,,,2,
88223,,,1,
88661,5,,,
88662,,10,,
88663,,9,,
88666,,6,,
88667,2,2,,
88669,,1,,
88688,,,1,
88690,,,1,
89925,,2,,
89927,,4,,
91168,,2,,
91182,,1,,
91184,,1,,
91392,,2,,
91401,,2,,
91455,,2,,
91577,,2,,
91596,,2,,
91604,,2,,
91620,,2,,
91647,,2,,
91654,,2,,
91880,,1,,
91896,,1,,
91897,,20,2,
91990,,1,,
91994,,2,,
92528,,1,,
92553,,2,,
93802,,2,,
94380,,6,,
94465,,2,,
94466,,1,,
94467,,2,,
94468,,3,,
94469,,3,,
94470,,,1,
94474,,,1,
94484,,,1,
94491,,1,,
94551,,2,,
94552,,2,,
94915,19,,,
94916,3,,,
94918,,8,,
94919,,2,,
94968,,2,,
97050,,2,,
97083,,1,,
98462,,2,,
98517,,2,,
98518,,4,,
98548,,1,,
98774,,2,,
98775,,,1,
99411,,2,,
99455,,2,,
99457,,2,,
99458,,2,,
99459,,2,,
99592,,2,,
99857,,2,,
99858,,2,,
100308,,1,,
100437,,2,,
100502,,2,,
100504,,1,,
100560,,2,,
102707,,2,,
103130,,,8,
103841,,2,,
103842,,1,,
104041,,2,,
104229,,2,,
104325,,2,,
104326,,2,,
104327,,2,,
104328,,2,,
104329,,2,,
104330,,2,,
104331,,2,,
104332,,2,,
104334,,2,,
104355,,2,,
104356,,2,,
104357,,2,,
104402,,2,,
104422,,2,,
104524,,2,,
104525,,2,,
104527,,2,,
104540,,2,,
104700,,2,,
104701,,1,,
104702,,2,,
104703,,1,,
104720,,2,,
104760,,2,,
104790,,2,,
104808,,2,,
104844,,2,,
104910,,2,,
104911,,2,,
104912,,2,,
104913,,2,,
104914,,2,,
104915,,2,,
105095,,2,,
105110,,2,,
105112,,2,,
105121,,1,,
105215,,2,,
105282,,2,,
105283,,1,,
105317,,1,,
105353,,2,,
105355,,2,,
105474,,2,,
105475,,2,,
105477,,1,,
105571,,,20,
116255,,2,,
116256,,3,,
116258,,2,,
116259,,2,,
116260,,1,,
116261,,3,,
116262,,9,,
116263,,6,,
116264,,2,,
116265,,2,,
116266,,2,,
116267,,2,,
116268,,2,,
116270,,3,,
116271,,1,,
116272,,2,,
116273,,3,,
116275,,1,,
116276,,1,,
116277,,2,,
116278,,4,,
116279,,3,,
116281,,2,,
116282,,6,,
116283,,3,,
116284,,1,,
116285,,4,,
116286,,2,,
116287,,2,,
116289,,3,,
116290,,2,,
116291,,2,,
116292,,1,,
116295,,2,,
116296,,4,,
116297,,1,,
116298,,2,,
116299,,1,,
116300,,2,,
116301,,1,,
116302,,2,,
116303,,2,,
116304,,2,,
116305,,2,,
116307,,2,,
116308,,3,,
116309,,3,,
116310,,2,,
116311,,3,,
116312,,2,,
116313,,2,,
116314,,2,,
116315,,2,,
116317,,1,,
116318,,2,,
116319,,6,,
116320,,2,,
116321,,2,,
116322,,2,,
116324,,2,,
116325,,3,,
116326,,2,,
116327,,2,,
116328,,1,,
116330,,2,,
116331,,2,,
116332,,2,,
116333,,2,,
116334,,1,,
116335,,2,,
116336,,2,,
116337,,2,,
116338,,3,,
116339,,4,,
116340,,2,,
116341,,3,,
116342,,2,,
116343,,3,,
116344,,2,,
116345,,2,,
116346,,2,,
116347,,3,,
116348,,3,,
116349,,1,,
116350,,2,,
116351,,1,,
116352,,3,,
116353,,2,,
116354,,3,,
116355,,3,,
116356,,2,,
116357,,2,,
116358,,2,,
116359,,2,,
116360,,2,,
116362,,3,,
116363,,1,,
116364,,2,,
116365,,2,,
116366,,3,,
116368,,2,,
116369,,2,,
116370,,2,,
116371,,2,,
116373,,2,,
116374,,1,,
116375,,1,,
116377,,1,,
116378,,2,,
116379,,1,,
116380,,1,,
116381,,3,,
116382,,2,,
116383,,4,,
116384,,2,,
116385,,3,,
116386,,2,,
116387,,3,,
116388,,4,,
116389,,1,,
116390,,6,,
116391,,6,,
116392,,1,,
116393,,1,,
116394,,2,,
116395,,2,,
116396,,1,,
116398,,2,,
116399,,3,,
116400,,2,,
116401,,3,,
116402,,2,,
116403,,2,,
116404,,2,,
116405,,6,,
116406,,3,,
116407,,9,,
116408,,2,,
116409,,2,,
116410,,3,,
116411,,4,,
116412,,2,,
116413,,2,,
116414,,3,,
116415,,2,,
116416,,1,,
116417,,2,,
116418,,2,,
116419,,12,,
116420,,3,,
116421,,2,,
116422,,2,,
116423,,2,,
116426,,1,,
116427,,2,,
116428,,3,,
116429,,2,,
116430,,2,,
116431,,1,,
116432,,1,,
116433,,2,,
116434,,2,,
116435,,2,,
116436,,2,,
116437,,4,,
116438,,1,,
116439,,3,,
116440,,1,,
116441,,2,,
116442,,12,,
116443,,12,,
116444,,5,,
116445,,1,,
116446,,3,,
116447,,24,,
116448,,12,,
116449,,12,,
116450,,6,,
116451,,6,,
116452,,2,,
116453,,6,,
116454,,2,,
116455,,5,,
116456,,4,,
116457,,2,,
116458,,12,,
116459,,1,,
116460,,4,,
116461,,3,,
116462,,1,,
116463,,2,,
116464,,2,,
116465,,2,,
116466,,1,,
116467,,5,,
116468,,3,,
116469,,2,,
116470,,2,,
116471,,3,,
116472,,2,,
116473,,4,,
116474,,1,,
116475,,4,,
116477,,4,,
116478,,3,,
116479,,2,,
116480,,3,,
116481,,2,,
116482,,3,,
116483,,4,,
116485,,2,,
116486,,16,,
116487,,16,,
116488,,16,,
116489,,8,,
116490,,4,,
116491,,2,,
116492,,4,,
116493,,1,,
116494,,2,,
116495,,2,,
116496,,2,,
116497,,1,,
116498,,2,,
116499,,2,,
116500,,1,,
116501,,4,,
116502,,4,,
116503,,16,,
116505,,4,,
116506,,2,,
116507,,4,,
116508,,2,,
116509,,12,,
116510,,12,,
116511,,5,,
116512,,1,,
116513,,10,,
